GradYear,Student Ref,Admission Year,Program,Semester/Year,Academic Year,Student Status,Gender,Nationality,Application Category,GPA,CGPA
2016,1802547991219804254,2012-2013,B.Sc - Computer Science,Semester 2,2015-2016,Active,Male,Country2, ,3.33,3.54
2018,7776172791774649279,2014-2015,B.Sc - Management Information Systems,Semester 1,2015-2016,Graduated,Male,Country0, ,2.44,2.75
2018,7776172791774649279,2014-2015,B.Sc - Management Information Systems,Semester 2,2015-2016,Graduated,Male,Country0, ,2.78,2.76
2017,3642944632062277761,2013-2014,B.Sc - Computer Science,Semester 1,2015-2016,Active,Male,Country0, ,4.00,3.98
2017,3642944632062277761,2013-2014,B.Sc - Computer Science,Semester 2,2015-2016,Active,Male,Country0, ,4.00,3.98
2019,4930733131539158575,2015-2016,B.Sc - Computer Science,Semester 1,2015-2016,Graduated,Female,Country6, ,3.13,3.13
2019,4930733131539158575,2015-2016,B.Sc - Computer Science,Semester 2,2015-2016,Graduated,Female,Country6, ,3.33,3.24
2019,4930733131539158575,2015-2016,B.Sc - Computer Science,Semester 3,2015-2016,Graduated,Female,Country6, ,4.00,3.32
2019,7986826850902475576,2015-2016,B.Sc - Computer Science,Semester 1,2015-2016,Graduated,Male,Country0, ,3.75,3.75
2019,7986826850902475576,2015-2016,B.Sc - Computer Science,Semester 2,2015-2016,Graduated,Male,Country0, ,3.22,3.47
2019,7986826850902475576,2015-2016,B.Sc - Computer Science,Semester 3,2015-2016,Graduated,Male,Country0, ,3.50,3.47
2019,8848458801959326187,2015-2016,B.Sc - Computer Engineering,Semester 1,2015-2016,Graduated,Male,Country7, ,3.50,3.50
2019,8848458801959326187,2015-2016,B.Sc - Computer Engineering,Semester 2,2015-2016,Graduated,Male,Country7, ,3.56,3.53
2019,8848458801959326187,2015-2016,B.Sc - Computer Engineering,Semester 3,2015-2016,Graduated,Male,Country7, ,4.00,3.60
2019,7384116451870943204,2015-2016,B.Sc - Electrical and Electronic Engineering,Semester 1,2015-2016,Graduated,Female,Country1, ,2.50,2.50
2019,7384116451870943204,2015-2016,B.Sc - Electrical and Electronic Engineering,Semester 2,2015-2016,Graduated,Female,Country1, ,2.11,2.29
2019,7384116451870943204,2015-2016,B.Sc - Electrical and Electronic Engineering,Semester 3,2015-2016,Graduated,Female,Country1, ,3.83,2.53
2017,4295076149033806142,2013-2014,B.Sc - Management Information Systems,Semester 1,2015-2016,Active,Male,Country0, ,3.50,2.95
2017,4295076149033806142,2013-2014,B.Sc - Management Information Systems,Semester 2,2015-2016,Active,Male,Country0, ,3.30,3.02
2019,670383686451980206,2015-2016,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country0, ,2.50,2.50
2019,670383686451980206,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country0, ,3.39,3.17
2019,670383686451980206,2015-2016,B.Sc - Business Administration,Semester 3,2015-2016,Graduated,Female,Country0, ,3.50,3.21
2019,3651049450327781912,2015-2016,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country0, ,2.25,2.25
2019,3651049450327781912,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country0, ,2.89,2.80
2019,3651049450327781912,2015-2016,B.Sc - Business Administration,Semester 3,2015-2016,Graduated,Female,Country0, ,2.00,2.63
2019,6050924293465820506,2015-2016,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country0, ,3.63,3.63
2019,6050924293465820506,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country0, ,3.50,3.56
2019,6050924293465820506,2015-2016,B.Sc - Business Administration,Semester 3,2015-2016,Graduated,Female,Country0, ,4.00,3.61
2016,4805025775609776237,2012-2013,B.Sc - Management Information Systems,Semester 1,2015-2016,Active,Male,Country0, ,3.63,3.55
2016,4805025775609776237,2012-2013,B.Sc - Management Information Systems,Semester 2,2015-2016,Active,Male,Country0, ,3.38,3.53
2016,5890749578362120822,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.25,3.34
2016,5890749578362120822,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.13,3.31
2017,7480027778210588498,2013-2014,B.Sc - Management Information Systems,Semester 1,2015-2016,Active,Male,Country0, ,3.50,3.27
2017,7480027778210588498,2013-2014,B.Sc - Management Information Systems,Semester 2,2015-2016,Active,Male,Country0, ,3.50,3.30
2019,3042150747910031129,2015-2016,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country7, ,3.38,3.38
2019,3042150747910031129,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country7, ,3.44,3.41
2019,3042150747910031129,2015-2016,B.Sc - Business Administration,Semester 3,2015-2016,Graduated,Female,Country7, ,2.50,3.32
2018,3749481557993021270,2014-2015,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Male,Country0, ,4.00,3.79
2018,3749481557993021270,2014-2015,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Male,Country0, ,4.00,3.85
2018,1382344595209085403,2014-2015,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Male,Country0, ,3.67,3.46
2018,1382344595209085403,2014-2015,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Male,Country0, ,3.72,3.53
2018,3994319661293687314,2014-2015,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Male,Country0, ,3.00,2.77
2018,3994319661293687314,2014-2015,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Male,Country0, ,2.64,2.73
2018,4358431699345804513,2014-2015,B.Sc - Computer Science,Semester 1,2015-2016,Graduated,Male,Country0, ,3.61,3.77
2018,4358431699345804513,2014-2015,B.Sc - Computer Science,Semester 2,2015-2016,Graduated,Male,Country0, ,3.44,3.69
2019,3841298759439526605,2015-2016,B.Sc - Electrical and Electronic Engineering,Semester 1,2015-2016,Graduated,Female,Country0, ,3.75,3.75
2019,3841298759439526605,2015-2016,B.Sc - Electrical and Electronic Engineering,Semester 2,2015-2016,Graduated,Female,Country0, ,3.83,3.79
2019,3841298759439526605,2015-2016,B.Sc - Electrical and Electronic Engineering,Semester 3,2015-2016,Graduated,Female,Country0, ,4.00,3.83
2017,3015442810802132449,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country8, ,3.90,3.78
2017,3015442810802132449,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country8, ,0,3.78
2016,3562628962607322237,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.75,3.54
2016,3562628962607322237,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,3.25,3.51
2019,7989832786170884139,2015-2016,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country0, ,2.88,2.88
2019,7989832786170884139,2015-2016,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country0, ,3.61,3.26
2019,7989832786170884139,2015-2016,B.Sc - Business Administration,Semester 3,2015-2016,Graduated,Female,Country0, ,3.00,3.24
2018,3249448979020296746,2014-2015,B.Sc - Computer Science,Semester 1,2015-2016,Graduated,Female,Country2, ,2.83,2.87
2018,3249448979020296746,2014-2015,B.Sc - Computer Science,Semester 2,2015-2016,Graduated,Female,Country2, ,2.22,2.70
2017,4239292651004744184,2013-2014,B.Sc - Business Administration,Semester 1,2015-2016,Active,Female,Country3, ,2.75,2.46
2017,4239292651004744184,2013-2014,B.Sc - Business Administration,Semester 2,2015-2016,Active,Female,Country3, ,1.75,2.35
2018,4629213074964206035,2014-2015,B.Sc - Business Administration,Semester 1,2015-2016,Graduated,Female,Country0, ,3.78,3.00
2018,4629213074964206035,2014-2015,B.Sc - Business Administration,Semester 2,2015-2016,Graduated,Female,Country0, ,3.06,3.20
2016,8229056035588771131,2012-2013,B.Sc - Business Administration,Semester 1,2015-2016,Active,Male,Country0, ,3.00,2.77
2016,8229056035588771131,2012-2013,B.Sc - Business Administration,Semester 2,2015-2016,Active,Male,Country0, ,2.63,2.75
